execution_id,execution_datetime,data_source,check_type,check_name,schedule_type,execution_status,records_checked,records_failed,execution_duration_sec,cpu_usage_percent,memory_usage_mb,threshold_value,actual_value,threshold_breached,incident_created
EXEC-000001,2025-09-30 11:00:00,CRM_CLIENTS,RANGE_CHECK,CHECK_691,WEEKLY,SUCCESS,7371,59,42.63,25.46,50.0,1.4688,1.158579420649715,False,False
EXEC-000002,2025-09-22 15:00:00,FRAUD_DETECTION,NULL_CHECK,CHECK_540,HOURLY,TIMEOUT,355,0,8.8,15.48,316.18,3.9598,,False,False
EXEC-000003,2025-10-26 09:00:00,CRM_CLIENTS,CONSISTENCY_CHECK,CHECK_509,ON_DEMAND,SUCCESS,61359,1265,16.64,23.5,240.8,4.6061,2.4688332562265405,False,False
EXEC-000004,2025-10-20 18:00:00,CREDIT_BUREAU,RANGE_CHECK,CHECK_798,HOURLY,TIMEOUT,4546,0,7.44,20.04,102.38,1.4737,,False,False
EXEC-000005,2025-12-26 18:00:00,INTERNET_BANK,NULL_CHECK,CHECK_431,ON_DEMAND,SUCCESS,110927,8,15.97,17.2,311.18,4.7003,4.040425972079566,False,False
EXEC-000006,2025-10-25 17:00:00,INTERNET_BANK,REFERENTIAL_INTEGRITY,CHECK_516,ON_DEMAND,SUCCESS,11126,87,7.6,27.44,256.0,2.4528,2.1319686628329158,False,False
EXEC-000007,2026-02-26 04:00:00,CRM_CLIENTS,NULL_CHECK,CHECK_292,ON_DEMAND,SUCCESS,279240,16,19.21,51.59,178.07,4.9649,2.08741173430022,False,False
EXEC-000008,2026-03-02 13:00:00,MOBILE_APP,NULL_CHECK,CHECK_299,ON_DEMAND,SUCCESS,1234,247,0.81,24.32,206.29,2.98,0.6131554267666302,False,False
EXEC-000009,2025-11-06 06:00:00,INTERNET_BANK,REFERENTIAL_INTEGRITY,CHECK_579,WEEKLY,SUCCESS,463927,4,6.19,30.63,263.61,0.7974,0.5412309343862,False,False
EXEC-000010,2026-02-11 09:00:00,FRAUD_DETECTION,RANGE_CHECK,CHECK_103,HOURLY,SUCCESS,51343,11,3.69,55.89,555.91,3.7359,1.5521124130083346,False,False
EXEC-000011,2025-12-29 22:00:00,MOBILE_APP,SCHEMA_VALIDATION,CHECK_214,HOURLY,SUCCESS,52853,1565,36.79,25.34,536.23,1.6971,0.6709701185709372,False,False
EXEC-000012,2025-09-11 04:00:00,PAYMENT_SYSTEM,CONSISTENCY_CHECK,CHECK_385,DAILY,SUCCESS,583165,122,3.32,42.31,1947.22,2.9561,1.0576781040313346,False,False
EXEC-000013,2025-12-26 02:00:00,CRM_CLIENTS,FORMAT_CHECK,CHECK_163,ON_DEMAND,SUCCESS,38078,20,9.61,38.48,686.81,1.3214,0.7986613280456225,False,False
EXEC-000014,2026-01-11 20:00:00,FRAUD_DETECTION,RANGE_CHECK,CHECK_761,DAILY,SUCCESS,15563,39,1.69,34.86,109.6,3.6105,1.9353529972537828,False,False
EXEC-000015,2026-01-26 14:00:00,CREDIT_BUREAU,FORMAT_CHECK,CHECK_947,ON_DEMAND,SUCCESS,368,614,5.2,18.19,927.53,0.4434,0.25325224313732214,False,False
EXEC-000016,2025-10-06 08:00:00,MOBILE_APP,DUPLICATE_CHECK,CHECK_147,WEEKLY,FAILED,33910,21,6.79,19.28,338.16,2.8075,11.278161272302524,True,True
EXEC-000017,2026-02-22 21:00:00,FRAUD_DETECTION,RANGE_CHECK,CHECK_881,DAILY,SUCCESS,3697,226,8.48,76.14,846.97,0.5244,0.0672361755421598,False,False
EXEC-000018,2026-01-16 08:00:00,SCORING_ENGINE,DUPLICATE_CHECK,CHECK_744,HOURLY,SUCCESS,12282,52766,522.65,36.42,793.98,4.5617,3.696269524962963,False,False
EXEC-000019,2025-11-12 11:00:00,MOBILE_APP,SCHEMA_VALIDATION,CHECK_817,DAILY,SKIPPED,16741,0,3.39,68.62,233.5,0.7901,,False,False
EXEC-000020,2025-10-28 04:00:00,CRM_CLIENTS,NULL_CHECK,CHECK_465,DAILY,SUCCESS,1666,1,29.79,10.83,45.29,1.8402,0.7923774580780434,False,False
EXEC-000021,2025-11-04 21:00:00,MOBILE_APP,REFERENTIAL_INTEGRITY,CHECK_934,ON_DEMAND,FAILED,53502,866,6.18,26.11,591.95,1.256,2.0136340416456293,True,False
EXEC-000022,2026-02-13 00:00:00,PAYMENT_SYSTEM,CONSISTENCY_CHECK,CHECK_256,ON_DEMAND,TIMEOUT,10187,0,3.87,48.49,583.6,3.6037,,False,False
EXEC-000023,2025-09-23 20:00:00,INTERNET_BANK,REFERENTIAL_INTEGRITY,CHECK_933,ON_DEMAND,SUCCESS,42080,0,26.9,3.3,485.04,0.3337,0.19229514603404832,False,False
