incident_id,incident_date,data_source,check_type,check_name,severity,status,affected_records,total_records,detection_time,resolution_time_hours,root_cause,is_recurrent,sla_breach,error_rate_percent
INC-000001,2026-02-11,MOBILE_APP,FRESHNESS_CHECK,CHECK_677,LOW,CLOSED,180,35473,03:28,4.5,MANUAL_DATA_ENTRY,False,False,0.51
INC-000002,2025-09-29,LOAN_REGISTRY,REFERENTIAL_INTEGRITY,CHECK_304,LOW,RESOLVED,508,742911,23:21,10.35,DATA_DRIFT,False,False,0.07
INC-000003,2025-09-07,FRAUD_DETECTION,NULL_CHECK,CHECK_706,LOW,CLOSED,135,6386,08:23,15.73,CONFIGURATION_ERROR,True,False,2.11
INC-000004,2026-03-09,MOBILE_APP,REFERENTIAL_INTEGRITY,CHECK_658,HIGH,REOPENED,3,6918,11:35,6.1,NETWORK_TIMEOUT,False,False,0.04
INC-000005,2025-11-10,PAYMENT_SYSTEM,SCHEMA_VALIDATION,CHECK_284,MEDIUM,RESOLVED,61,122607,17:59,0.82,SOURCE_SYSTEM_ERROR,False,False,0.05
INC-000006,2025-11-02,INTERNET_BANK,DUPLICATE_CHECK,CHECK_798,MEDIUM,CLOSED,148,9471,08:22,3.12,CONFIGURATION_ERROR,False,False,1.56
INC-000007,2025-10-28,FRAUD_DETECTION,REFERENTIAL_INTEGRITY,CHECK_886,LOW,CLOSED,2015,544521,00:26,25.75,DATA_DRIFT,False,False,0.37
INC-000008,2025-10-06,FRAUD_DETECTION,REFERENTIAL_INTEGRITY,CHECK_663,HIGH,CLOSED,30,162916,03:22,20.88,BUSINESS_LOGIC_ERROR,True,False,0.02
INC-000009,2026-03-08,MOBILE_APP,DUPLICATE_CHECK,CHECK_127,HIGH,RESOLVED,5,10480,21:38,1.09,ETL_PIPELINE_FAILURE,False,False,0.05
INC-000010,2025-09-27,SCORING_ENGINE,REFERENTIAL_INTEGRITY,CHECK_844,MEDIUM,RESOLVED,168,588,06:36,3.04,UNKNOWN,False,False,28.57
INC-000011,2026-02-21,PAYMENT_SYSTEM,RANGE_CHECK,CHECK_572,HIGH,RESOLVED,839,1206,18:41,17.59,BUSINESS_LOGIC_ERROR,False,False,69.57
INC-000012,2026-03-09,MOBILE_APP,NULL_CHECK,CHECK_825,HIGH,CLOSED,67,8404,20:34,7.98,UNKNOWN,False,False,0.8
INC-000013,2026-01-18,PAYMENT_SYSTEM,FORMAT_CHECK,CHECK_314,LOW,IN_PROGRESS,17432,49484,05:49,,SOURCE_SYSTEM_ERROR,False,False,35.23
INC-000014,2025-09-23,PAYMENT_SYSTEM,NULL_CHECK,CHECK_548,MEDIUM,IN_PROGRESS,10883,199696,09:22,,SCHEMA_CHANGE,False,False,5.45
INC-000015,2026-01-30,INTERNET_BANK,REFERENTIAL_INTEGRITY,CHECK_916,LOW,RESOLVED,128,14263,10:43,36.61,CONFIGURATION_ERROR,False,True,0.9
INC-000016,2025-12-18,FRAUD_DETECTION,RANGE_CHECK,CHECK_398,LOW,IN_PROGRESS,215,3722,16:31,,API_INTEGRATION_ISSUE,False,False,5.78
INC-000017,2025-09-09,LOAN_REGISTRY,FRESHNESS_CHECK,CHECK_951,MEDIUM,CLOSED,2292,16622,23:28,2.64,NETWORK_TIMEOUT,True,False,13.79
INC-000018,2025-09-08,INTERNET_BANK,REFERENTIAL_INTEGRITY,CHECK_809,HIGH,IN_PROGRESS,124,22942,02:24,,DATA_DRIFT,False,False,0.54
INC-000019,2025-09-24,INTERNET_BANK,SCHEMA_VALIDATION,CHECK_170,MEDIUM,RESOLVED,29,299506,19:18,1.44,BUSINESS_LOGIC_ERROR,False,False,0.01
INC-000020,2025-10-26,PAYMENT_SYSTEM,RANGE_CHECK,CHECK_938,MEDIUM,CLOSED,878,268028,14:40,5.38,SCHEMA_CHANGE,False,False,0.33
INC-000021,2025-10-30,CREDIT_BUREAU,DUPLICATE_CHECK,CHECK_968,LOW,RESOLVED,375,2969,04:55,12.93,MANUAL_DATA_ENTRY,True,False,12.63
INC-000022,2026-01-08,FRAUD_DETECTION,RANGE_CHECK,CHECK_914,MEDIUM,CLOSED,29,54621,05:40,4.81,DATABASE_CORRUPTION,False,False,0.05
INC-000023,2026-02-02,SCORING_ENGINE,DUPLICATE_CHECK,CHECK_914,CRITICAL,IN_PROGRESS,259,3993,10:26,,DATA_DRIFT,False,False,6.49
