monitoring_id,monitoring_date,monitoring_time,model_name,model_version,accuracy,precision,recall,f1_score,auc_roc,predictions_count,avg_inference_time_ms,data_drift_score,feature_importance_shift,null_predictions_percent,model_type,is_anomaly,alert_level
MON-000001,2025-09-01,08:00,CREDIT_SCORING_V2,v1.4,0.8423,0.8465,0.8536,0.8263,0.8931,1075,10.21,0.4081,0.2108,0.59,Classification,True,WARNING
MON-000002,2025-09-01,20:00,CREDIT_SCORING_V2,v4.5,0.8509,0.8612,0.8521,0.8156,0.8888,3079,19.21,0.1025,0.4301,0.36,Classification,False,OK
MON-000003,2025-09-02,08:00,CREDIT_SCORING_V2,v1.1,0.8373,0.8341,0.846,0.8245,0.8986,6425,28.28,0.0294,0.2507,3.7,Classification,False,OK
MON-000004,2025-09-02,20:00,CREDIT_SCORING_V2,v1.3,0.8941,0.8833,0.9191,0.8703,0.9472,1778,15.38,0.4819,0.1571,0.27,Classification,True,WARNING
MON-000005,2025-09-03,08:00,CREDIT_SCORING_V2,v1.2,0.8695,0.8768,0.8655,0.8544,0.9143,1170,29.09,0.262,0.0419,3.73,Classification,False,OK
MON-000006,2025-09-03,20:00,CREDIT_SCORING_V2,v1.1,0.8638,0.865,0.9042,0.8436,0.9191,340,12.0,0.1614,0.1163,1.95,Classification,False,OK
MON-000007,2025-09-04,08:00,CREDIT_SCORING_V2,v3.8,0.8922,0.8919,0.9194,0.8789,0.9372,4315,13.54,0.2315,0.2221,2.57,Classification,False,OK
MON-000008,2025-09-04,20:00,CREDIT_SCORING_V2,v4.0,0.884,0.8857,0.8769,0.8765,0.9321,917,14.27,0.1409,0.0819,0.33,Classification,False,OK
MON-000009,2025-09-05,08:00,CREDIT_SCORING_V2,v4.8,0.8514,0.8396,0.8821,0.8205,0.9015,4040,18.08,0.3633,0.3491,1.29,Classification,True,WARNING
MON-000010,2025-09-05,20:00,CREDIT_SCORING_V2,v2.7,0.8443,0.8418,0.8363,0.8436,0.9123,1228,8.81,0.3446,0.1762,2.17,Classification,True,WARNING
MON-000011,2025-09-06,08:00,CREDIT_SCORING_V2,v4.8,0.8441,0.8512,0.8806,0.8201,0.8828,5190,9.7,0.3289,0.1295,0.57,Classification,True,WARNING
MON-000012,2025-09-06,20:00,CREDIT_SCORING_V2,v1.6,0.839,0.839,0.8351,0.8265,0.8968,4299,9.01,0.277,0.1746,0.01,Classification,False,OK
MON-000013,2025-09-07,08:00,CREDIT_SCORING_V2,v1.9,0.8454,0.8403,0.8532,0.8197,0.8884,502,22.59,0.0546,0.205,0.25,Classification,False,OK
MON-000014,2025-09-07,20:00,CREDIT_SCORING_V2,v2.0,0.8396,0.8322,0.847,0.8239,0.9072,7138,23.76,0.2481,0.179,1.1,Classification,False,OK
MON-000015,2025-09-08,08:00,CREDIT_SCORING_V2,v4.8,0.8273,0.83,0.8215,0.8069,0.8681,4014,4.25,0.1009,0.1692,0.67,Classification,False,OK
MON-000016,2025-09-08,20:00,CREDIT_SCORING_V2,v3.3,0.8014,0.8098,0.8081,0.8046,0.8424,8806,45.67,0.4921,0.08,6.47,Classification,True,WARNING
MON-000017,2025-09-09,08:00,CREDIT_SCORING_V2,v1.9,0.8707,0.8809,0.8881,0.8455,0.9283,744,7.55,0.4862,0.2089,6.24,Classification,True,WARNING
MON-000018,2025-09-09,20:00,CREDIT_SCORING_V2,v4.2,0.7965,0.791,0.7978,0.7962,0.8465,983,31.55,0.5301,0.0722,4.03,Classification,True,WARNING
MON-000019,2025-09-10,08:00,CREDIT_SCORING_V2,v2.2,0.8568,0.8731,0.8607,0.8297,0.915,2021,34.04,0.2791,0.056,2.63,Classification,False,OK
MON-000020,2025-09-10,20:00,CREDIT_SCORING_V2,v1.5,0.8691,0.8702,0.8812,0.8673,0.9313,2547,35.49,0.2343,0.0956,0.56,Classification,False,OK
MON-000021,2025-09-11,08:00,CREDIT_SCORING_V2,v2.8,0.8585,0.8421,0.8418,0.8508,0.9104,2274,14.51,0.4491,0.4795,0.83,Classification,True,WARNING
MON-000022,2025-09-11,20:00,CREDIT_SCORING_V2,v3.0,0.8467,0.8479,0.848,0.8261,0.9069,423,21.22,0.2368,0.0104,3.61,Classification,False,OK
MON-000023,2025-09-12,08:00,CREDIT_SCORING_V2,v4.7,0.854,0.844,0.8729,0.8352,0.8845,3886,18.31,0.2042,0.0743,1.41,Classification,False,OK
MON-000024,2025-09-12,20:00,CREDIT_SCORING_V2,v4.2,0.7542,0.7583,0.7501,0.7407,0.8079,2241,49.51,0.1207,0.2068,2.34,Classification,True,WARNING
MON-000025,2025-09-13,08:00,CREDIT_SCORING_V2,v3.1,0.8478,0.8506,0.8568,0.8308,0.8958,2036,17.59,0.4512,0.239,4.45,Classification,True,WARNING
MON-000026,2025-09-13,20:00,CREDIT_SCORING_V2,v3.3,0.8433,0.8281,0.8185,0.8304,0.9084,3031,40.2,0.237,0.272,6.97,Classification,False,OK
MON-000027,2025-09-14,08:00,CREDIT_SCORING_V2,v1.4,0.8359,0.8502,0.8374,0.8203,0.8641,3801,12.1,0.4843,0.2063,0.86,Classification,True,WARNING
MON-000028,2025-09-14,20:00,CREDIT_SCORING_V2,v3.7,0.8734,0.8669,0.8713,0.8461,0.9161,2643,14.71,0.1363,0.1722,3.02,Classification,False,OK
MON-000029,2025-09-15,08:00,CREDIT_SCORING_V2,v3.4,0.867,0.8488,0.8677,0.8444,0.9038,1129,17.27,0.3714,0.2508,0.01,Classification,True,WARNING
MON-000030,2025-09-15,20:00,CREDIT_SCORING_V2,v2.0,0.8465,0.8594,0.844,0.8323,0.8987,746,20.28,0.3269,0.2403,0.31,Classification,True,WARNING
MON-000031,2025-09-16,08:00,CREDIT_SCORING_V2,v4.3,0.8505,0.8566,0.869,0.8229,0.903,7199,19.55,0.1942,0.2755,4.49,Classification,False,OK
MON-000032,2025-09-16,20:00,CREDIT_SCORING_V2,v3.8,0.8346,0.832,0.821,0.8127,0.885,1115,14.93,0.1539,0.0624,2.02,Classification,False,OK
